title,link,snippet,displayLink
AI-in-Health/MedLLMsPracticalGuide: [Nature Reviews ... - GitHub,https://github.com/AI-in-Health/MedLLMsPracticalGuide,"Apr 8, 2025 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... [Arxiv, 2024] Medical Graph RAG: Towards Safe Medical Large Language Model ...",github.com
codefuse-ai/Awesome-Code-LLM: [TMLR] A curated list of ... - GitHub,https://github.com/codefuse-ai/Awesome-Code-LLM,"5 days ago ... ... Code Review Comment Generation"" [2024-12] [paper]. ""Distilling Desired Comments for Enhanced Code Review with Large Language Models"" [2024-12] [paper]. ""Deep ...",github.com
aishwaryanr/awesome-generative-ai-guide: A one stop ... - GitHub,https://github.com/aishwaryanr/awesome-generative-ai-guide,"Feb 28, 2025 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... Large Language Model Guided Self-Debugging Code Generation, Automated ...",github.com
hyp1231/awesome-llm-powered-agent: Awesome things ... - GitHub,https://github.com/hyp1231/awesome-llm-powered-agent,"Feb 15, 2024 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... Large Language Model-based Artificial Intelligence Agents."" Pengyu ...",github.com
AGI-Edgerunners/LLM-Agents-Papers: A repo lists papers ... - GitHub,https://github.com/AGI-Edgerunners/LLM-Agents-Papers,"May 1, 2025 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... zjunlp/LLMAgentPapers: Must-read Papers on Large Language Model Agents.",github.com
zjunlp/LLMAgentPapers: Must-read Papers on LLM Agents. - GitHub,https://github.com/zjunlp/LLMAgentPapers,"Jun 21, 2023 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... Wireless Multi-Agent Generative AI: From Connected Intelligence to ...",github.com
git-disl/awesome-LLM-game-agent-papers: A Survey on ... - GitHub,https://github.com/git-disl/awesome-LLM-game-agent-papers,"Mar 27, 2025 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... Multi-Player Texas Hold'em via Large Language Model arXiv [paper] ...",github.com
Zhen-Tan-dmml/LLM4Annotation - GitHub,https://github.com/Zhen-Tan-dmml/LLM4Annotation,"Dec 9, 2024 ... Distilling Desired Comments for Enhanced Code Review with Large Language Models. · Evaluating Large Language Models Against Human Annotators in Latent Content ...",github.com
GeminiLight/awesome-ai-llm4education: Awesome artificial ... - GitHub,https://github.com/GeminiLight/awesome-ai-llm4education,"Jun 15, 2024 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... Large Language Model and Retrieval-Augmented Generation. Chenxi Dong.",github.com
Thinklab-SJTU/Awesome-LLM4AD: A curated list of ... - GitHub,https://github.com/Thinklab-SJTU/Awesome-LLM4AD,"Sep 16, 2024 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... Keywords: human-AI interaction, driver model, agent, generative AI, large ...",github.com
rrrrrrockpang/llm-chi - GitHub,https://github.com/rrrrrrockpang/llm-chi,"Jan 30, 2025 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... Human-Algorithmic Interaction Using a Large Language Model-Augmented ...",github.com
BAAI-Agents/GPA-LM: This repo is a live list of papers on ... - GitHub,https://github.com/BAAI-Agents/GPA-LM,"Aug 7, 2024 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... [2023/11/28] War and Peace (WarAgent): Large Language Model-based Multi- ...",github.com
